snp-dists 0.8.2,ERR10548468,ERR10548828,ERR10548867,ERR10686436,ERR10686490,ERR10686498,ERR10766445,ERR10766460,ERR10766496,ERR10766533,ERR10766635,ERR10766804,ERR10767005,ERR10767194,ERR10767195,ERR10767210,ERR10767359,ERR10767435,ERR10767721,ERR10767776,ERR3425981,ERR3426066,ERR3865258,ERR3865293,ERR3865295,ERR3865303,ERR3865323,ERR3865329,ERR3865370,ERR3865442,ERR3865445,ERR3865447,ERR3865518,ERR3865537,ERR3865576,ERR3865577,cS132a,cS162a,cS172a,cS178a,cS51a,cS72c,cS83a,fM16a,fS10a,fS11a,fS12a,fS13a,fS37a,fS39a,fS41a,fS46a,fS62a,fS63b,fS64a,fS74a,fS93a,fS97a,fS99a
ERR10766635,33,197,30,367,194,197,370,356,356,357,0,29,382,197,197,27,197,202,196,186,61,56,209,191,44,370,192,42,197,362,374,356,192,58,62,384,29,29,30,28,28,26,27,40,212,212,211,212,212,211,211,212,212,211,211,212,212,212,212
ERR10766804,30,194,27,364,191,194,367,353,353,354,29,0,379,194,194,32,194,199,193,183,58,53,206,188,41,367,189,39,194,359,371,353,189,55,59,381,36,36,37,35,35,33,34,37,209,209,208,209,209,208,208,209,209,208,208,209,209,209,209
ERR10767005,381,391,378,135,388,391,138,254,254,255,382,379,0,391,391,385,391,396,390,380,389,384,403,385,372,138,386,382,391,130,142,254,386,386,390,12,389,389,390,388,388,386,387,388,406,406,405,406,406,405,405,406,406,405,405,406,406,406,406
ERR10767194,196,66,193,376,63,66,379,365,365,366,197,194,391,0,0,200,66,71,65,187,204,199,214,60,187,379,61,197,66,371,383,365,61,201,205,393,204,204,205,203,203,201,202,203,81,81,80,81,81,80,80,81,81,80,80,81,81,81,81
ERR10767195,196,66,193,376,63,66,379,365,365,366,197,194,391,0,0,200,66,71,65,187,204,199,214,60,187,379,61,197,66,371,383,365,61,201,205,393,204,204,205,203,203,201,202,203,81,81,80,81,81,80,80,81,81,80,80,81,81,81,81
ERR10767210,36,200,33,370,197,200,373,359,359,360,27,32,385,200,200,0,200,205,199,189,64,59,212,194,47,373,195,45,200,365,377,359,195,61,65,387,34,34,35,33,33,31,32,43,215,215,214,215,215,214,214,215,215,214,214,215,215,215,215
ERR10767359,196,42,193,376,21,0,379,365,365,366,197,194,391,66,66,200,0,47,23,187,204,199,214,36,187,379,19,197,42,371,383,365,19,201,205,393,204,204,205,203,203,201,202,203,39,39,38,39,39,38,38,39,39,38,38,39,39,39,39
ERR10767435,201,37,198,381,44,47,384,370,370,371,202,199,396,71,71,205,47,0,46,192,209,204,219,31,192,384,42,202,37,376,388,370,42,206,210,398,209,209,210,208,208,206,207,208,62,62,61,62,62,61,61,62,62,61,61,62,62,62,62
ERR10767721,195,41,192,375,20,23,378,364,364,365,196,193,390,65,65,199,23,46,0,186,203,198,213,35,186,378,18,196,41,370,382,364,18,200,204,392,203,203,204,202,202,200,201,202,22,22,21,22,22,21,21,22,22,21,21,22,22,22,22
ERR10767776,185,187,182,365,184,187,368,354,354,355,186,183,380,187,187,189,187,192,186,0,193,188,205,181,176,368,182,186,187,360,372,354,182,190,194,382,193,193,194,192,192,190,191,192,202,202,201,202,202,201,201,202,202,201,201,202,202,202,202
ERR3425981,60,204,57,374,201,204,377,363,363,364,61,58,389,204,204,64,204,209,203,193,0,27,216,198,51,377,199,61,204,369,381,363,199,29,17,391,68,68,69,67,67,65,66,67,219,219,218,219,219,218,218,219,219,218,218,219,219,219,219
ERR3426066,55,199,52,369,196,199,372,358,358,359,56,53,384,199,199,59,199,204,198,188,27,0,211,193,46,372,194,56,199,364,376,358,194,12,28,386,63,63,64,62,62,60,61,62,214,214,213,214,214,213,213,214,214,213,213,214,214,214,214
ERR3865258,208,214,205,388,211,214,391,377,377,378,209,206,403,214,214,212,214,219,213,205,216,211,0,208,199,391,209,209,214,383,395,377,209,213,217,405,216,216,217,215,215,213,214,215,229,229,228,229,229,228,228,229,229,228,228,229,229,229,229
ERR3865293,190,14,187,370,33,36,373,359,359,360,191,188,385,60,60,194,36,31,35,181,198,193,208,0,181,373,31,191,14,365,377,359,31,195,199,387,198,198,199,197,197,195,196,197,51,51,50,51,51,50,50,51,51,50,50,51,51,51,51
ERR3865295,43,187,40,357,184,187,360,346,346,347,44,41,372,187,187,47,187,192,186,176,51,46,199,181,0,360,182,44,187,352,364,346,182,48,52,374,51,51,52,50,50,48,49,50,202,202,201,202,202,201,201,202,202,201,201,202,202,202,202
ERR3865303,369,379,366,51,376,379,54,242,242,243,370,367,138,379,379,373,379,384,378,368,377,372,391,373,360,0,374,370,379,46,10,242,374,374,378,140,377,377,378,376,376,374,375,376,394,394,393,394,394,393,393,394,394,393,393,394,394,394,394
ERR3865323,191,37,188,371,10,19,374,360,360,361,192,189,386,61,61,195,19,42,18,182,199,194,209,31,182,374,0,192,37,366,378,360,0,196,200,388,199,199,200,198,198,196,197,198,34,34,33,34,34,33,33,34,34,33,33,34,34,34,34
ERR3865329,41,197,38,367,194,197,370,356,356,357,42,39,382,197,197,45,197,202,196,186,61,56,209,191,44,370,192,0,197,362,374,356,192,58,62,384,49,49,50,48,48,46,47,48,212,212,211,212,212,211,211,212,212,211,211,212,212,212,212
ERR3865370,196,14,193,376,39,42,379,365,365,366,197,194,391,66,66,200,42,37,41,187,204,199,214,14,187,379,37,197,0,371,383,365,37,201,205,393,204,204,205,203,203,201,202,203,57,57,56,57,57,56,56,57,57,56,56,57,57,57,57
ERR3865442,361,371,358,15,368,371,18,234,234,235,362,359,130,371,371,365,371,376,370,360,369,364,383,365,352,46,366,362,371,0,50,234,366,366,370,132,369,369,370,368,368,366,367,368,386,386,385,386,386,385,385,386,386,385,385,386,386,386,386
ERR3865445,373,383,370,55,380,383,58,246,246,247,374,371,142,383,383,377,383,388,382,372,381,376,395,377,364,10,378,374,383,50,0,246,378,378,382,144,381,381,382,380,380,378,379,380,398,398,397,398,398,397,397,398,398,397,397,398,398,398,398
ERR3865447,355,365,352,239,362,365,242,18,18,19,356,353,254,365,365,359,365,370,364,354,363,358,377,359,346,242,360,356,365,234,246,0,360,360,364,256,363,363,364,362,362,360,361,362,380,380,379,380,380,379,379,380,380,379,379,380,380,380,380
ERR3865518,191,37,188,371,10,19,374,360,360,361,192,189,386,61,61,195,19,42,18,182,199,194,209,31,182,374,0,192,37,366,378,360,0,196,200,388,199,199,200,198,198,196,197,198,34,34,33,34,34,33,33,34,34,33,33,34,34,34,34
ERR3865537,57,201,54,371,198,201,374,360,360,361,58,55,386,201,201,61,201,206,200,190,29,12,213,195,48,374,196,58,201,366,378,360,196,0,30,388,65,65,66,64,64,62,63,64,216,216,215,216,216,215,215,216,216,215,215,216,216,216,216
ERR3865576,61,205,58,375,202,205,378,364,364,365,62,59,390,205,205,65,205,210,204,194,17,28,217,199,52,378,200,62,205,370,382,364,200,30,0,390,69,69,70,68,68,66,67,68,220,220,219,220,220,219,219,220,220,219,219,220,220,220,220
ERR3865577,383,393,380,137,390,393,140,256,256,257,384,381,12,393,393,387,393,398,392,382,391,386,405,387,374,140,388,384,393,132,144,256,388,388,390,0,391,391,392,390,390,388,389,390,408,408,407,408,408,407,407,408,408,407,407,408,408,408,408
cS132a,40,204,37,374,201,204,377,363,363,364,29,36,389,204,204,34,204,209,203,193,68,63,216,198,51,377,199,49,204,369,381,363,199,65,69,391,0,6,7,5,5,3,4,47,219,219,218,219,219,218,218,219,219,218,218,219,219,219,219
cS162a,40,204,37,374,201,204,377,363,363,364,29,36,389,204,204,34,204,209,203,193,68,63,216,198,51,377,199,49,204,369,381,363,199,65,69,391,6,0,3,1,1,3,2,47,219,219,218,219,219,218,218,219,219,218,218,219,219,219,219
cS172a,41,205,38,375,202,205,378,364,364,365,30,37,390,205,205,35,205,210,204,194,69,64,217,199,52,378,200,50,205,370,382,364,200,66,70,392,7,3,0,2,2,4,3,48,220,220,219,220,220,219,219,220,220,219,219,220,220,220,220
cS178a,39,203,36,373,200,203,376,362,362,363,28,35,388,203,203,33,203,208,202,192,67,62,215,197,50,376,198,48,203,368,380,362,198,64,68,390,5,1,2,0,0,2,1,46,218,218,217,218,218,217,217,218,218,217,217,218,218,218,218
cS51a,39,203,36,373,200,203,376,362,362,363,28,35,388,203,203,33,203,208,202,192,67,62,215,197,50,376,198,48,203,368,380,362,198,64,68,390,5,1,2,0,0,2,1,46,218,218,217,218,218,217,217,218,218,217,217,218,218,218,218
cS72c,37,201,34,371,198,201,374,360,360,361,26,33,386,201,201,31,201,206,200,190,65,60,213,195,48,374,196,46,201,366,378,360,196,62,66,388,3,3,4,2,2,0,1,44,216,216,215,216,216,215,215,216,216,215,215,216,216,216,216
cS83a,38,202,35,372,199,202,375,361,361,362,27,34,387,202,202,32,202,207,201,191,66,61,214,196,49,375,197,47,202,367,379,361,197,63,67,389,4,2,3,1,1,1,0,45,217,217,216,217,217,216,216,217,217,216,216,217,217,217,217
fM16a,39,203,36,373,200,203,376,362,362,363,40,37,388,203,203,43,203,208,202,192,67,62,215,197,50,376,198,48,203,368,380,362,198,64,68,390,47,47,48,46,46,44,45,0,218,218,217,218,218,217,217,218,218,217,217,218,218,218,218
fS10a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,0,0,1,2,2,1,1,2,2,1,1,2,2,2,2
fS11a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,0,0,1,2,2,1,1,2,2,1,1,2,2,2,2
fS12a,210,56,207,390,35,38,393,379,379,380,211,208,405,80,80,214,38,61,21,201,218,213,228,50,201,393,33,211,56,385,397,379,33,215,219,407,218,218,219,217,217,215,216,217,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
fS13a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,2,2,1,0,2,1,1,2,2,1,1,2,2,2,2
fS37a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,2,2,1,2,0,1,1,2,2,1,1,0,2,0,2
fS39a,210,56,207,390,35,38,393,379,379,380,211,208,405,80,80,214,38,61,21,201,218,213,228,50,201,393,33,211,56,385,397,379,33,215,219,407,218,218,219,217,217,215,216,217,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
fS41a,210,56,207,390,35,38,393,379,379,380,211,208,405,80,80,214,38,61,21,201,218,213,228,50,201,393,33,211,56,385,397,379,33,215,219,407,218,218,219,217,217,215,216,217,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
fS46a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,2,2,1,2,2,1,1,0,2,1,1,2,2,2,2
fS62a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,2,2,1,2,2,1,1,2,0,1,1,2,2,2,2
fS63b,210,56,207,390,35,38,393,379,379,380,211,208,405,80,80,214,38,61,21,201,218,213,228,50,201,393,33,211,56,385,397,379,33,215,219,407,218,218,219,217,217,215,216,217,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
fS64a,210,56,207,390,35,38,393,379,379,380,211,208,405,80,80,214,38,61,21,201,218,213,228,50,201,393,33,211,56,385,397,379,33,215,219,407,218,218,219,217,217,215,216,217,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
fS74a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,2,2,1,2,0,1,1,2,2,1,1,0,2,0,2
fS93a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,2,2,1,2,2,1,1,2,2,1,1,2,0,2,0
fS97a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,2,2,1,2,0,1,1,2,2,1,1,0,2,0,2
fS99a,211,57,208,391,36,39,394,380,380,381,212,209,406,81,81,215,39,62,22,202,219,214,229,51,202,394,34,212,57,386,398,380,34,216,220,408,219,219,220,218,218,216,217,218,2,2,1,2,2,1,1,2,2,1,1,2,0,2,0
