,cM10a,cM12a,cM19a,cM20a,cM2a,cM34a,cM35a,cM3a,cM41a,cM42a,cM42b,cM44b,cM59a,cM59b,cM5a,cM7b,cM8a,cM9b,cS100a,cS103a,cS104a,cS107a,cS108a,cS109a,cS10a,cS113a,cS115a,cS116a,cS11a,cS129a,cS132a,cS142a,cS153a,cS157a,cS15a,cS162a,cS164a,cS165a,cS168a,cS172a,cS178a,cS184a,cS27b,cS28a,cS30a,cS33a,cS35a,cS37a,cS39c,cS45a,cS46a,cS4a,cS51a,cS53a,cS58a,cS60a,cS61a,cS63a,cS65a,cS66a,cS68a,cS6a,cS71a,cS71b,cS72c,cS76a,cS80a,cS83a,cS86a,cS86b,cS87a,cS88a,cS8b,cS91a,cS97a,cS99a,fM10a,fM16a,fM19a,fM21a,fM23b,fM24a,fM27b,fM29a,fM30a,fM31a,fM35a,fM40a,fM41b,fM48a,fM51a,fM54a,fM59a,fM60a,fS100a,fS101a,fS102a,fS10a,fS111a,fS117a,fS11a,fS121a,fS122a,fS128a,fS12a,fS133b,fS139a,fS13a,fS143a,fS144a,fS146a,fS148a,fS149a,fS14a,fS155a,fS157a,fS158a,fS159a,fS165a,fS170a,fS171a,fS174a,fS177a,fS190a,fS191a,fS24a,fS25a,fS34a,fS35a,fS37a,fS39a,fS41a,fS42a,fS46a,fS4a,fS50a,fS54a,fS56a,fS58a,fS62a,fS63b,fS64a,fS6a,fS70a,fS72b,fS73a,fS74a,fS79a,fS80a,fS81a,fS83a,fS84a,fS85a,fS86a,fS92a,fS93a,fS95a,fS97a,fS99a
cM42b,36665,19742,19748,19752,19740,8,77985,19750,68903,68896,0,19746,11199,19738,19756,19741,18,10,8588,77287,77281,36198,36156,36153,11206,23879,36210,68108,11212,36152,65450,36141,65733,36134,77293,65449,36155,68098,77573,65457,65464,36226,36225,19746,36211,36216,77777,34023,17048,77607,20388,25627,65441,77297,8588,17033,77282,77283,17040,17041,17041,36129,8589,20412,65448,17039,77582,65444,76881,77850,19758,19732,36135,77583,36140,23875,11134,65450,36208,11206,19738,24468,14821,36852,68121,22914,36213,77575,77584,36207,36222,19735,14814,14825,21943,65696,69830,64346,22430,77288,64340,36417,67564,64318,64358,36520,11403,64352,36428,36148,36135,22839,11401,21935,21924,36320,13,13,36332,36311,36317,21933,21948,7745,36501,36172,21932,36151,22810,64338,64346,64349,22426,64335,36148,36501,36510,37336,36322,64348,64341,64354,11393,36147,36526,36496,64355,36500,21929,36510,77293,37334,76642,76620,77282,64344,21934,64337,64331
cM44b,36213,28,46,42,26,19746,77966,48,68298,68294,19746,0,21052,30,53,55,19736,19744,19254,76837,76830,35891,35508,35493,21059,24012,35893,68212,21061,35498,65598,35453,65834,35422,76839,65597,35501,68186,77111,65592,65612,35909,35906,34,35906,35914,77310,34540,24154,77144,17976,24298,65576,76833,19254,24155,76830,76845,24158,24159,24159,35445,19255,17990,65595,24149,77132,65601,76704,77385,35,44,35447,77142,35446,24000,20737,65598,35912,21059,38,24405,19035,36183,68207,29917,35888,77111,77112,35889,35915,45,19040,19031,19585,65753,69871,64656,29635,76836,64672,35223,67136,64392,64669,35430,20378,64674,35220,35452,35461,29931,20372,19581,19570,35601,19747,19747,35597,35604,35608,19575,19594,19126,36254,35536,19574,35463,29975,64670,64656,64659,29619,64667,35462,36276,36285,37032,35603,64671,64663,64664,20364,35459,36280,36259,64665,36257,19585,36268,76829,37020,76392,76384,76830,64666,19580,64669,64653
cM59a,36705,21048,21054,21058,21046,11199,78036,21054,69456,69447,11199,21052,0,21042,21060,21047,11189,11197,7935,77200,77192,35946,37004,36982,39,25746,35958,68437,48,36997,65853,36721,66023,36693,77204,65852,37000,68415,77230,65864,65869,35974,35954,21052,35957,35954,77386,35173,13253,77262,21045,25305,65844,77210,7935,13234,77195,77194,13245,13246,13246,36703,7936,21071,65853,13240,77237,65849,77191,77472,21064,21036,36710,77244,36702,25734,1302,65853,35954,17,21044,24886,14880,37648,68440,17816,35938,77232,77233,35955,35970,21041,14870,14876,22239,65975,70157,65604,18087,77199,65596,36942,68059,65112,65614,37164,7253,65610,36937,36721,36708,17337,7240,22228,22217,37102,11200,11200,37098,37091,37099,22229,22241,4907,37614,37024,22228,36729,17630,65594,65601,65605,18085,65591,36723,37614,37623,38236,37104,65606,65597,65610,7232,36723,37639,37609,65611,37604,22222,37614,77206,38234,76570,76546,77195,65600,22227,65593,65587
cM59b,36217,36,42,38,24,19738,77958,36,68302,68284,19738,30,21042,0,41,47,19728,19736,19246,76841,76820,35895,35493,35483,21049,24004,35897,68204,21058,35476,65578,35438,65826,35400,76829,65577,35479,68178,77115,65572,65592,35913,35896,30,35896,35904,77300,34520,24151,77134,17980,24290,65568,76837,19246,24145,76834,76835,24155,24156,24156,35435,19247,17994,65575,24139,77122,65581,76708,77389,59,34,35432,77132,35431,23992,20741,65578,35902,21049,46,24409,19039,36187,68199,29907,35878,77115,77116,35893,35919,53,19030,19035,19582,65745,69863,64636,29625,76826,64664,35215,67140,64372,64649,35420,20363,64654,35212,35430,35439,29935,20350,19571,19560,35593,19739,19739,35589,35582,35612,19572,19584,19116,36246,35521,19571,35448,29965,64662,64636,64639,29623,64659,35440,36268,36277,37029,35607,64651,64655,64644,20354,35444,36272,36251,64645,36249,19575,36260,76833,37017,76396,76374,76834,64646,19570,64661,64645
cM5a,36236,57,71,45,31,19756,77989,21,68321,68303,19756,53,21060,41,0,68,19746,19754,19264,76858,76849,35914,35512,35502,21067,24022,35916,68223,21076,35495,65595,35457,65845,35431,76858,65594,35498,68197,77132,65601,65609,35932,35915,59,35915,35923,77317,34539,24181,77163,17998,24308,65597,76866,19264,24163,76851,76852,24173,24174,24174,35454,19265,18012,65592,24169,77139,65598,76727,77406,66,67,35451,77149,35450,24010,20759,65595,35921,21067,63,24427,19057,36206,68218,29926,35897,77132,77133,35912,35938,70,19048,19053,19600,65763,69882,64665,29644,76855,64681,35234,67159,64389,64678,35439,20381,64671,35231,35461,35458,29953,20368,19589,19578,35612,19757,19757,35608,35601,35631,19590,19602,19134,36277,35540,19589,35467,29984,64679,64665,64668,29642,64676,35471,36287,36296,37048,35626,64668,64672,64673,20372,35463,36303,36282,64674,36268,19593,36279,76862,37036,76415,76393,76851,64663,19588,64678,64662
cM7b,36218,39,15,47,37,19741,77975,63,68290,68298,19741,55,21047,47,68,0,19731,19739,19249,76833,76838,35884,35489,35486,21054,23993,35898,68204,21056,35491,65590,35446,65826,35427,76847,65589,35494,68190,77107,65596,65604,35914,35911,35,35911,35907,77306,34533,24161,77152,17969,24291,65592,76841,19249,24150,76826,76841,24153,24154,24154,35450,19250,17995,65587,24156,77128,65581,76700,77381,74,51,35440,77138,35427,23981,20732,65590,35905,21054,41,24410,19030,36188,68211,29912,35893,77107,77108,35894,35908,36,19035,19026,19590,65757,69875,64660,29630,76844,64664,35228,67140,64384,64673,35435,20361,64666,35225,35457,35442,29926,20355,19586,19575,35594,19742,19742,35590,35597,35601,19580,19599,19121,36271,35529,19579,35456,29970,64662,64660,64663,29614,64659,35455,36269,36278,37025,35608,64663,64667,64668,20359,35452,36297,36264,64669,36262,19578,36273,76837,37025,76388,76380,76826,64658,19585,64661,64657
cM8a,36671,19732,19738,19742,19730,18,77981,19740,68899,68892,18,19736,11189,19728,19746,19731,0,8,8578,77277,77271,36204,36162,36143,11196,23885,36216,68104,11202,36158,65440,36147,65723,36124,77283,65439,36161,68088,77563,65447,65454,36232,36215,19736,36217,36222,77767,34029,17038,77597,20378,25633,65431,77287,8578,17023,77272,77273,17030,17031,17031,36135,8579,20402,65438,17029,77572,65434,76871,77840,19748,19722,36141,77579,36130,23881,11124,65440,36214,11196,19728,24474,14811,36858,68111,22904,36203,77565,77574,36213,36228,19725,14804,14815,21933,65686,69826,64336,22420,77278,64330,36423,67554,64308,64348,36526,11401,64342,36418,36154,36141,22829,11391,21925,21914,36326,15,15,36322,36317,36323,21923,21938,7735,36507,36178,21922,36157,22800,64328,64336,64339,22416,64325,36154,36507,36516,37342,36328,64338,64331,64344,11383,36153,36532,36502,64345,36506,21919,36516,77283,37340,76632,76610,77272,64334,21924,64327,64321
cM9b,36663,19740,19746,19750,19738,10,77989,19748,68907,68900,10,19744,11197,19736,19754,19739,8,0,8586,77285,77279,36196,36154,36151,11204,23877,36208,68112,11210,36150,65448,36139,65731,36132,77291,65447,36153,68096,77571,65455,65462,36224,36223,19744,36209,36214,77775,34021,17046,77605,20386,25625,65439,77295,8586,17031,77280,77281,17038,17039,17039,36127,8587,20410,65446,17037,77580,65442,76879,77848,19756,19730,36133,77587,36138,23873,11132,65448,36206,11204,19736,24466,14819,36850,68119,22912,36211,77573,77582,36205,36220,19733,14812,14823,21941,65694,69834,64344,22428,77286,64338,36415,67562,64316,64356,36518,11409,64350,36426,36146,36133,22837,11399,21933,21922,36318,7,7,36330,36309,36315,21931,21946,7743,36499,36170,21930,36149,22808,64336,64344,64347,22424,64333,36146,36499,36508,37334,36320,64346,64339,64352,11391,36145,36524,36494,64353,36498,21927,36508,77291,37332,76640,76618,77280,64342,21932,64335,64329
cS100a,36227,19250,19256,19260,19248,8588,77711,19258,68294,68287,8588,19254,7935,19246,19264,19249,8578,8586,0,76509,76503,35453,36454,36435,7942,24279,35465,67910,7948,36450,65422,36287,65827,36262,76515,65421,36453,67888,76571,65431,65436,35481,35464,19254,35466,35471,76770,34219,14107,76605,20486,24011,65413,76519,0,14092,76504,76505,14099,14100,14100,36273,1,20510,65420,14098,76580,65418,76610,76841,19266,19240,36279,76586,36270,24275,7536,65422,35463,7942,19246,22938,13076,36855,67913,19035,35446,76573,76582,35462,35477,19243,13069,13080,21134,65647,69715,65144,18988,76510,65136,36279,66737,64785,65154,36652,8409,65150,36274,36292,36279,18685,8399,21126,21115,36695,8589,8589,36691,36686,36692,21124,21139,6168,37047,36474,21123,36297,19181,65134,65142,65145,18984,65131,36294,37047,37056,37329,36697,65146,65137,65150,8391,36291,37072,37042,65151,37046,21120,37056,76515,37327,75638,75616,76504,65140,21125,65133,65127
cS103a,76606,76832,76840,76845,76829,77287,33304,76846,67390,67397,77287,76837,77200,76841,76858,76833,77277,77285,76509,0,156,77195,76983,76969,77205,77624,77204,69022,77207,76980,76693,76873,77488,76855,52,76690,76984,69016,7887,76720,76695,77218,77213,76837,77216,77217,8248,77027,76800,7880,77289,77287,76701,165,76509,76787,150,141,76794,76793,76793,76858,76510,77298,76698,76793,7868,76693,34434,7361,76848,76837,76860,7891,76858,77618,76744,76691,77215,77207,76829,77502,77264,76599,69037,76731,77200,7898,7893,77201,77211,76828,77267,77268,76008,78083,68059,77575,77152,84,77557,76791,67123,76866,77562,76917,76827,77562,76787,76885,76874,77035,76821,76004,76007,77021,77288,77288,77010,77024,77015,76012,76019,77079,77084,77009,76011,76883,76759,77544,77560,77560,77137,77553,76884,77087,77089,77581,77023,77563,77552,77572,76813,76882,77095,77076,77559,77081,76002,77077,147,77577,9017,9039,165,77567,76005,77550,77558
cS104a,76610,76837,76833,76838,76834,77281,33292,76837,67412,67407,77281,76830,77192,76820,76849,76838,77271,77279,76503,156,0,77199,76982,76961,77197,77627,77208,69028,77206,76972,76696,76870,77481,76833,126,76693,76976,69009,7867,76699,76698,77222,77203,76830,77206,77207,8228,77019,76793,7844,77293,77290,76680,75,76503,76785,60,61,76799,76798,76798,76848,76504,77302,76701,76779,7858,76684,34421,7341,76841,76816,76857,7865,76855,77621,76750,76682,77205,77199,76834,77505,77270,76605,69043,76723,77190,7862,7859,77205,77215,76833,77259,77274,76005,78074,68065,77554,77150,120,77548,76783,67147,76869,77541,76908,76824,77553,76779,76863,76864,77041,76811,75994,75997,77027,77282,77282,77023,77016,77028,76009,76009,77077,77064,77008,76008,76880,76751,77542,77546,77539,77149,77551,76862,77079,77088,77578,77029,77554,77543,77558,76803,76879,77082,77063,77545,77073,75992,77076,133,77574,9009,9003,57,77558,75995,77541,77549
cS107a,6513,35887,35891,35895,35885,36198,78100,35907,68735,68743,36198,35891,35946,35895,35914,35884,36204,36196,35453,77195,77199,0,20586,20588,35953,35412,21,67480,35955,20589,65603,20086,66192,20083,77211,65599,20591,67462,77627,65610,65616,47,64,35891,41,44,77768,21382,32523,77672,36438,35642,65591,77202,35453,32518,77188,77203,32515,32516,32516,20084,35454,36468,65597,32524,77648,65592,76501,77853,35903,35887,20086,77655,20083,35405,35875,65601,37,35953,35883,34415,36207,21395,67488,41145,48,77628,77637,24,39,35878,36218,36211,37027,64947,70228,65437,40968,77206,65429,21096,67901,64869,65447,20304,37197,65440,21117,20097,20082,40680,37191,37023,37012,20436,36198,36198,20454,20439,20433,37017,37036,36818,6979,20470,37016,20096,41184,65425,65441,65437,40952,65422,20095,6978,6988,8774,20438,65438,65430,65445,37183,20092,7009,6971,65443,6985,37015,6995,77198,8773,77190,77180,77188,65433,37022,65424,65419
cS108a,20401,35492,35496,35500,35490,36156,77705,35506,68715,68717,36156,35508,37004,35493,35512,35489,36162,36154,36454,76983,76982,20586,0,35,37011,35354,20607,67535,37002,44,65479,18604,66169,18612,76992,65476,16,67518,77611,65487,65492,20620,20630,35496,20607,20601,77794,21083,31942,77648,36299,35997,65480,76993,36454,31948,76978,76986,31936,31935,31935,18625,36455,36329,65475,31954,77625,65469,76870,77863,35520,35497,18604,77634,18601,35339,36675,65477,20602,37011,35498,35993,36120,18991,67543,43257,20604,77613,77614,20597,20610,35493,36124,36116,36480,65024,70136,64417,42831,76989,64417,19767,68153,64013,64421,20515,37030,64415,19786,18626,18611,43093,37035,36487,36476,4240,36156,36156,4258,4244,4247,36470,36500,36369,19576,168,36469,18614,43087,64411,64415,64412,42822,64408,18624,19575,19585,20851,4254,64411,64416,64417,37039,18612,19608,19569,64418,19574,36479,19584,76981,20851,77239,77229,76971,64408,36486,64410,64406
cS109a,20403,35489,35493,35497,35487,36153,77684,35496,68688,68696,36153,35493,36982,35483,35502,35486,36143,36151,36435,76969,76961,20588,35,0,36989,35356,20609,67517,36998,53,65472,18631,66150,18605,76971,65469,33,67500,77597,65480,65485,20610,20609,35493,20602,20596,77773,21095,31938,77627,36284,36011,65461,76966,36435,31926,76964,76965,31932,31931,31931,18622,36436,36314,65468,31932,77604,65462,76856,77849,35505,35475,18631,77613,18612,35353,36660,65470,20585,36989,35483,35995,36105,18995,67525,43235,20583,77599,77600,20599,20612,35478,36102,36101,36476,65005,70105,64410,42809,76968,64398,19767,68139,64006,64414,20496,37038,64408,19770,18635,18620,43078,37025,36465,36454,4264,36153,36153,4266,4253,4259,36466,36478,36347,19574,195,36465,18641,43065,64392,64408,64405,42807,64389,18633,19573,19571,20864,4266,64404,64397,64410,37017,18639,19606,19567,64411,19572,36457,19582,76967,20864,77225,77208,76957,64401,36464,64391,64387
cS10a,36712,21055,21061,21065,21053,11206,78041,21061,69463,69454,11206,21059,39,21049,21067,21054,11196,11204,7942,77205,77197,35953,37011,36989,0,25753,35965,68444,9,37004,65860,36728,66032,36700,77209,65859,37007,68422,77235,65871,65876,35981,35961,21059,35964,35961,77391,35180,13260,77267,21054,25314,65851,77215,7942,13241,77200,77199,13252,13253,13253,36710,7943,21080,65860,13247,77242,65856,77198,77477,21071,21043,36717,77249,36709,25741,1303,65860,35961,46,21051,24893,14887,37655,68447,17823,35945,77237,77238,35962,35977,21048,14877,14883,22248,65982,70164,65611,18094,77204,65603,36949,68066,65119,65621,37171,7260,65617,36944,36728,36715,17344,7247,22237,22226,37109,11207,11207,37105,37098,37106,22238,22250,4914,37621,37031,22237,36736,17637,65601,65608,65612,18092,65598,36730,37621,37630,38243,37111,65613,65604,65617,7239,36730,37646,37616,65618,37611,22231,37621,77211,38241,76575,76551,77200,65607,22236,65600,65594
cS113a,35489,23996,24000,24004,23994,23879,78525,24017,68679,68700,23879,24012,25746,24004,24022,23993,23885,23877,24279,77624,77627,35412,35354,35356,25753,0,35432,68619,25755,35356,66007,35311,66344,35308,77638,66015,35359,68601,77695,66013,66021,35422,35450,24000,35430,35434,77942,34615,28127,77742,25303,5449,66009,77619,24279,28122,77616,77631,28119,28120,28120,35321,24280,25331,66013,28128,77716,65998,77045,78004,24024,24008,35311,77723,35308,17,25576,66007,35414,25753,24004,8425,24867,36287,68625,34242,35428,77698,77707,35423,35428,23999,24878,24871,26127,66008,70277,65241,33625,77635,65245,35459,67689,65022,65263,35603,24116,65256,35467,35322,35307,33603,24110,26123,26112,35773,23880,23880,35791,35776,35780,26117,26136,24275,36071,35366,26116,35321,34374,65243,65247,65253,33609,65240,35320,36069,36067,37011,35787,65244,65248,65249,24114,35317,36097,36073,65259,36076,26115,36096,77628,37020,76924,76914,77616,65248,26122,65242,65247
